name,op_name,provider,node_index,dur,activation_size,output_size,input_type_shape,output_type_shape
bert/encoder/layer_8/attention/self/key/MatMul_quant_fence_after,MatMulIntegerToFloat,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/Reshape_1_fence_before,Reshape,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/Reshape_1_kernel_time,Reshape,CPUExecutionProvider,852,7,786464,786432,"[{""float"": [256, 768]}, {""int64"": [4]}]","[{""float"": [1, 256, 12, 64]}]"
bert/encoder/layer_8/attention/self/Reshape_1_fence_after,Reshape,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/transpose_1_fence_before,Transpose,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/transpose_1_kernel_time,Transpose,CPUExecutionProvider,853,35,786432,786432,"[{""float"": [1, 256, 12, 64]}]","[{""float"": [1, 12, 256, 64]}]"
bert/encoder/layer_8/attention/self/transpose_1_fence_after,Transpose,,,0,,,"""""",""""""
MatMul_With_Transpose_token_9_FusedMatMulAndScale_fence_before,FusedMatMul,,,0,,,"""""",""""""
MatMul_With_Transpose_token_9_FusedMatMulAndScale_kernel_time,FusedMatMul,CPUExecutionProvider,863,388,1572864,3145728,"[{""float"": [1, 12, 256, 64]}, {""float"": [1, 12, 256, 64]}]","[{""float"": [1, 12, 256, 256]}]"
MatMul_With_Transpose_token_9_FusedMatMulAndScale_fence_after,FusedMatMul,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/add_fence_before,Add,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/add_kernel_time,Add,CPUExecutionProvider,867,73,3407872,3145728,"[{""float"": [1, 12, 256, 256]}, {""float"": [1, 1, 256, 256]}]","[{""float"": [1, 12, 256, 256]}]"
bert/encoder/layer_8/attention/self/add_fence_after,Add,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/Softmax_fence_before,Softmax,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/Softmax_kernel_time,Softmax,CPUExecutionProvider,868,467,3145728,3145728,"[{""float"": [1, 12, 256, 256]}]","[{""float"": [1, 12, 256, 256]}]"
bert/encoder/layer_8/attention/self/Softmax_fence_after,Softmax,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/MatMul_1_quant_fence_before,DynamicQuantizeMatMul,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/MatMul_1_quant_kernel_time,DynamicQuantizeMatMul,CPUExecutionProvider,1376,376,3342341,786432,"[{""float"": [1, 12, 256, 256]}, {""uint8"": [1, 12, 256, 64]}, {""float"": []}, {""uint8"": []}]","[{""float"": [1, 12, 256, 64]}]"
bert/encoder/layer_8/attention/self/MatMul_1_quant_fence_after,DynamicQuantizeMatMul,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/transpose_3_fence_before,Transpose,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/transpose_3_kernel_time,Transpose,CPUExecutionProvider,884,38,786432,786432,"[{""float"": [1, 12, 256, 64]}]","[{""float"": [1, 256, 12, 64]}]"
bert/encoder/layer_8/attention/self/transpose_3_fence_after,Transpose,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/Reshape_3_fence_before,Reshape,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/self/Reshape_3_kernel_time,Reshape,CPUExecutionProvider,889,8,786448,786432,"[{""float"": [1, 256, 12, 64]}, {""int64"": [2]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_8/attention/self/Reshape_3_fence_after,Reshape,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/output/dense/MatMul_quant_fence_before,DynamicQuantizeMatMul,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/output/dense/MatMul_quant_kernel_time,DynamicQuantizeMatMul,CPUExecutionProvider,1377,533,786432,786432,"[{""float"": [256, 768]}, {""float"": [768]}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_8/attention/output/dense/MatMul_quant_fence_after,DynamicQuantizeMatMul,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/output/add_fence_before,Add,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/output/add_kernel_time,Add,CPUExecutionProvider,896,39,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_8/attention/output/add_fence_after,Add,,,0,,,"""""",""""""
bert/encoder/layer_8/attention/output/LayerNorm/moments/mean_fence_before,ReduceMean,,,0,,,"""""",""""""
